Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
63125,6,1519276348.0,117,2,0,0,0,0,0,0,0,0,0,0,0,0,17094.0170940171,117,0,117,117,117,117,0,117,117,0,0,0,0,0,0,0,0,0,40,0,17094.0170940171,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,63964,-1,0,20,0,0,0,0,0,0,0,0,Benign
39128,6,1519276893.0,86381119,2,0,0,0,0,0,0,0,0,0,0,0,0,0.0231532078,86381119,0,86381119,86381119,86381119,86381119,0,86381119,86381119,0,0,0,0,0,0,0,0,0,40,0,0.0231532078,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,62567,-1,0,20,0,0,0,0,86381119,0,86381119,86381119,Benign
53,17,1519299941.0,238,1,1,44,60,44,44,44,0,60,60,60,0,436974.789915966,8403.3613445378,238,0,238,238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,4201.6806722689,4201.6806722689,44,60,49.3333333333,9.237604307,85.3333333333,0,0,0,0,0,0,0,0,1,74,44,60,0,0,0,0,0,0,1,44,1,60,-1,-1,0,8,0,0,0,0,0,0,0,0,Benign
42540,6,1519270919.0,85864740,2,0,0,0,0,0,0,0,0,0,0,0,0,0.0232924481,85864740,0,85864740,85864740,85864740,85864740,0,85864740,85864740,0,0,0,0,0,0,0,0,0,40,0,0.0232924481,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,62566,-1,0,20,0,0,0,0,85864740,0,85864740,85864740,Benign
12508,6,1519272848.0,86061749,2,0,0,0,0,0,0,0,0,0,0,0,0,0.023239128,86061749,0,86061749,86061749,86061749,86061749,0,86061749,86061749,0,0,0,0,0,0,0,0,0,40,0,0.023239128,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,62567,-1,0,20,0,0,0,0,86061749,0,86061749,86061749,Benign
445,6,1519275026.0,191090,6,5,455,338,140,0,75.8333333333,62.9362110924,145,0,67.6,69.7588704037,4149.8770212989,57.5644984039,19109,24547.2303936717,47706,62,191022,38204.4,21291.0696607756,47814,118,191028,47757,79.8248081739,47826,47642,0,0,0,0,132,112,31.3988173112,26.1656810927,0,145,66.0833333333,63.40269328,4019.9015151515,0,0,0,1,0,0,0,0,0,72.0909090909,75.8333333333,67.6,0,0,0,0,0,0,6,455,5,338,8192,0,4,20,0,0,0,0,0,0,0,0,Benign
51677,6,1519261677.0,47,1,1,0,0,0,0,0,0,0,0,0,0,0,42553.1914893617,47,0,47,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,21276.5957446809,21276.5957446809,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,513,254,0,20,0,0,0,0,0,0,0,0,Benign
53,17,1519271556.0,266,1,1,53,69,53,53,53,0,69,69,69,0,458646.616541353,7518.7969924812,266,0,266,266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,3759.3984962406,3759.3984962406,53,69,58.3333333333,9.237604307,85.3333333333,0,0,0,0,0,0,0,0,1,87.5,53,69,0,0,0,0,0,0,1,53,1,69,-1,-1,0,8,0,0,0,0,0,0,0,0,Benign
53,17,1519298964.0,194976,2,2,96,242,48,48,48,0,121,121,121,0,1733.5466929263,20.5153454784,64992,93116.2845478706,171668,0,23308,23308,0,23308,23308,0,0,0,0,0,0,0,0,0,16,16,10.2576727392,10.2576727392,48,121,77.2,39.9837466979,1598.7,0,0,0,0,0,0,0,0,1,96.5,48,121,0,0,0,0,0,0,2,96,2,242,-1,-1,1,8,0,0,0,0,0,0,0,0,Benign
26336,6,1519272105.0,86009310,2,0,0,0,0,0,0,0,0,0,0,0,0,0.0232532966,86009310,0,86009310,86009310,86009310,86009310,0,86009310,86009310,0,0,0,0,0,0,0,0,0,40,0,0.0232532966,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,62567,-1,0,20,0,0,0,0,86009310,0,86009310,86009310,Benign
